"unlist.names_spec.","unlist.years_spec.","unlist.times_spec.","unlist.av_rates_spec.","unlist.directors_spec.","unlist.countries_spec.","unlist.genres1_spec.","unlist.genres2_spec."
"Gorzko, gorzko!","2023","1h 47m","3,2","Tomasz Konecki","Polska","Komedia rom.",NA
"Kochanek królowej","2012","2h 17m","7,2","Nikolaj Arcel","Dania","Kostiumowy","Romans"
"Interstellar","2014","2h 49m","8,0","Christopher Nolan","USA","Sci-Fi","Najlepsze filmy #65"
"Negatyw","2022","1h 15m","5,1","Robert Wichrowski","Polska","Dramat",NA
"Tylko nie ty","2023","1h 43m","5,8","Will Gluck","USA","Komedia rom.","Top 2023 roku #70"
"Diuna: Część druga","2024","2h 46m","8,2","Denis Villeneuve","USA","Sci-Fi","Filmweb poleca"
"Sami swoi. Początek","2024","1h 58m","5,8","Artur Żmijewski","Polska","Komedia obycz.",NA
"Fuks 2","2024","1h 45m","4,5","Maciej Dutkiewicz","Polska","Komedia","Sensacyjny"
"Piep*zyć Mickiewicza","2024","1h 42m","5,2","Sara Bustamante-Drozdek","Polska","Obyczajowy",NA
"Piękna katastrofa 2","2024","1h 40m","3,8","Roger Kumble","USA","Dramat","Komedia"
"Dobrzy nieznajomi","2023","1h 45m","7,3","Andrew Haigh","USA","Fantasy","Melodramat"
"Argylle - Tajny szpieg","2024","2h 19m","5,2","Matthew Vaughn","Wielka Brytania","Akcja","Szpiegowski"
"Baby boom czyli Kogel Mogel 5","2024","1h 27m","4,2","Anna Wieczur","Polska","Komedia",NA
"Kod nieśmiertelności","2011","1h 33m","7,3","Duncan Jones","USA","Thriller","Sci-Fi"
"Sisu","2022","1h 31m","6,2","Jalmari Helander","Finlandia","Dramat","Wojenny"
"Boyhood","2014","2h 43m","7,0","Richard Linklater","USA","Dramat","Filmweb poleca"
"Zaginiona dziewczyna","2014","2h 29m","7,8","David Fincher","USA","Thriller","Filmweb poleca"
"Chłopiec i czapla","2023","2h 5m","7,0","Hayao Miyazaki","Japonia","Dramat","Fantasy"
"Biedne istoty","2023","2h 21m","7,5","Yórgos Lánthimos","USA","Sci-Fi","Czarna komedia"
"Przesilenie zimowe","2023","2h 13m","7,7","Alexander Payne","USA","Dramat","Komedia"
"Buntownik z wyboru","1997","2h 6m","8,1","Gus Van Sant","USA","Dramat obyczajowy","Filmweb poleca"
"Żółty szalik","2000","59m","7,7","Janusz Morgenstern","Polska","Dramat","Świąteczny"
"Irlandczyk","2019","3h 30m","7,1","Martin Scorsese","USA","Biograficzny","Gangsterski"
"Mad Max: Na drodze gniewu","2015","2h","7,2","George Miller","Australia","Sensacyjny","Sci-Fi"
"S.W.A.T. Jednostka Specjalna","2003","1h 57m","6,5","Clark Johnson","USA","Sensacyjny","Top 2003 roku #95"
"Bartkowiak","2021","1h 31m","4,7","Daniel Markowicz","Polska","Kryminał",NA
"Saltburn","2023","2h 7m","6,5","Emerald Fennell","USA","Dramat","Komedia"
"Akademia pana Kleksa","2023","2h 5m","5,2","Maciej Kawulski","Polska","Fantasy","Top 2023 roku #90"
"Dream Scenario","2023","1h 40m","6,5","Kristoffer Borgli","USA","Komedia","Top 2023 roku #43"
"Poskromienie złośnicy 2","2023","1h 40m","4,4","Filip Zylber","Polska","Komedia rom.",NA
"Plan lekcji","2022","1h 41m","4,4","Daniel Markowicz","Polska","Dramat","Kryminał"
"Wonka","2023","1h 53m","6,6","Paul King","USA","Fantasy","Komedia"
"Godzilla Minus One","2023","2h 5m","7,2","Takashi Yamazaki","Japonia","Akcja","Sci-Fi"
"Ucieczka z Nowego Jorku","1981","1h 39m","6,8","John Carpenter","USA","Akcja","Sci-Fi"
"Kronika świąteczna","2018","1h 44m","6,7","Clay Kaytis","USA","Familijny","Komedia"
"Napoleon","2023","2h 38m","5,6","Ridley Scott","Wielka Brytania","Biograficzny","Dramat"
"Słodkie zmartwienia","1995","1h 37m","6,4","Amy Heckerling","USA","Komedia rom.","Top 1995 roku #75"
"Pusty człowiek","2020","2h 17m","5,4","David Prior","USA","Horror",NA
"Tata","2022","1h 55m","6,5","Anna Maliszewska","Ukraina","Dramat",NA
"Monster","2023","2h 6m","7,4","Hirokazu Koreeda","Japonia","Dramat","Filmweb poleca"
"Pokolenie Ikea","2023","1h 43m","4,1","Dawid Gral","Polska","Komedia","Romans"
"Igrzyska śmierci: Ballada ptaków i węży","2023","2h 37m","6,7","Francis Lawrence","USA","Akcja","Sci-Fi"
"Igrzyska śmierci: Kosogłos. Część 2","2015","2h 17m","6,6","Francis Lawrence","USA","Akcja","Sci-Fi"
"Igrzyska śmierci: Kosogłos. Część 1","2014","2h 3m","6,7","Francis Lawrence","USA","Akcja","Sci-Fi"
"Marvels","2023","1h 45m","4,7","Nia DaCosta","USA","Akcja","Sci-Fi"
"Kapitan Marvel","2019","2h 4m","6,7","Anna Boden","USA","Akcja","Sci-Fi"
"Bezmiar","2022","1h 37m","6,7","Emanuele Crialese","Włochy","Dramat",NA
"Judasz i Czarny Mesjasz","2021","2h 6m","6,5","Shaka King","USA","Biograficzny","Dramat"
"Tożsamość","2003","1h 30m","7,2","James Mangold","USA","Thriller","Top 2003 roku #40"
"Lokal zamknięty","2021","1h 22m","4,2","Krzysztof Jankowski","Polska","Komedia",NA
"Miało cię nie być","2023","1h 30m","5,7","Jakub Michalczuk","Polska","Dramat","Komedia"
"Poprzednie życie","2023","1h 46m","7,3","Celine Song","USA","Melodramat","Top 2023 roku #17"
"Przejścia","2023","1h 31m","6,0","Ira Sachs","Francja","Melodramat",NA
"Wyrwa","2023","1h 35m","5,5","Bartosz Konopka","Polska","Thriller",NA
"Zabójca","2023","1h 59m","6,2","David Fincher","USA","Kryminał","Thriller"
"Śmietanka towarzyska","2016","1h 36m","6,2","Woody Allen","USA","Dramat","Komedia"
"Czas krwawego księżyca","2023","3h 26m","7,1","Martin Scorsese","USA","Kryminał","Filmweb poleca"
"Znachor","2023","2h 20m","7,5","Michał Gazda","Polska","Melodramat","Obyczajowy"
"Święto ognia","2023","1h 34m","6,7","Kinga Dębska","Polska","Komedia obycz.",NA
"Sekstaśma","2014","1h 34m","5,4","Jake Kasdan","USA","Komedia",NA
"Lęk","2023","1h 36m","6,4","Sławomir Fabicki","Polska","Dramat",NA
"Doppelgänger. Sobowtór","2023","1h 59m","6,7","Jan Holoubek","Polska","Thriller","Psychologiczny"
"Imago","2023","1h 53m","6,3","Olga Chajdas","Polska","Dramat",NA
"Chłopi","2023","1h 56m","8,0","DK Welchman","Polska","Animacja","Dramat"
"Figurant","2023","1h 53m","6,4","Robert Gliński","Polska","Dramat",NA
"Kos","2023","1h 58m","7,2","Paweł Maślona","Polska","Historyczny","Akcja"
"Horror Story","2023","1h 45m","5,8","Adrian Apanel","Polska","Czarna komedia",NA
"Teściowie 2","2023","1h 35m","6,2","Kalina Alabrudzińska","Polska","Komedia","Top 2023 roku #52"
"Wakacje Jasia Fasoli","2007","1h 29m","6,7","Steve Bendelack","Wielka Brytania","Familijny","Komedia"
"Freestyle","2023","1h 26m","5,5","Maciej Bochniak","Polska","Sensacyjny",NA
"Miłość do kwadratu jeszcze raz","2023","1h 40m","4,2","Filip Zylber","Polska","Komedia rom.",NA
"Miłość do kwadratu bez granic","2023","1h 42m","4,1","Filip Zylber","Polska","Komedia rom.",NA
"Tajemnice Silver Lake","2018","2h 19m","6,4","David Robert Mitchell","USA","Kryminał","Filmweb poleca"
"Jumanji: Przygoda w dżungli","2017","1h 59m","6,6","Jake Kasdan","USA","Fantasy","Przygodowy"
"Jumanji: Następny poziom","2019","2h 3m","6,4","Jake Kasdan","USA","Fantasy","Przygodowy"
"Rocky Horror Picture Show","1975","1h 40m","7,6","Jim Sharman","Wielka Brytania","Komedia","Musical"
"Poskromienie złośnicy","2022","1h 51m","4,3","Anna Wieczur","Polska","Komedia rom.",NA
"West Side Story","1961","2h 32m","7,2","Robert Wise","USA","Melodramat","Musical"
"Velvet Buzzsaw","2019","1h 49m","5,4","Dan Gilroy","USA","Thriller",NA
"Wyrzutki","1983","1h 31m","6,6","Francis Ford Coppola","USA","Dramat","Kryminał"
"Dragonball: Ewolucja","2009","1h 25m","3,2","James Wong","USA","Fantasy","Przygodowy"
"Wyspa piratów","1995","1h 59m","6,6","Renny Harlin","USA","Przygodowy","Top 1995 roku #71"
"Blue Beetle","2023","2h 7m","5,2","Ángel Manuel Soto","USA","Akcja","Sci-Fi"
"Mów do mnie!","2022","1h 35m","6,8","Danny Philippou","Australia","Horror","Filmweb poleca"
"Reality","2023","1h 23m","6,5","Tina Satter","USA","Dramat","Filmweb poleca"
"Gra fortuny","2023","1h 54m","6,0","Guy Ritchie","USA","Komedia","Akcja"
"Missing","2023","1h 51m","6,5","Nicholas D. Johnson","USA","Thriller",NA
"Obecność 3: Na rozkaz diabła","2021","1h 52m","6,2","Michael Chaves","USA","Horror","Top 2021 roku #67"
"Niebezpieczni dżentelmeni","2022","1h 47m","6,2","Maciej Kawalski","Polska","Komedia kryminalna","Top 2022 roku #60"
"Lęk pierwotny","1996","2h 9m","7,9","Gregory Hoblit","USA","Dramat","Thriller"
"Shazam! Gniew bogów","2023","2h 10m","5,5","David F. Sandberg","USA","Fantasy","Akcja"
"Masakra w Halloween","2016","1h 22m","5,3","Damien Leone","USA","Horror",NA
"Chleb i sól","2022","1h 40m","6,8","Damian Kocur","Polska","Dramat","Filmweb poleca"
"Nimona","2023","1h 42m","7,2","Nick Bruno","USA","Animacja","Przygodowy"
"Wojownicze Żółwie Ninja: Zmutowany chaos","2023","1h 39m","6,9","Jeff Rowe","USA","Animacja","Akcja"
"Filip","2022","2h 5m","7,0","Michał Kwieciński","Polska","Dramat","Wojenny"
"Piękna katastrofa","2023","1h 36m","5,0","Roger Kumble","USA","Dramat","Komedia"
"Bez urazy","2023","1h 43m","5,9","Gene Stupnitsky","USA","Komedia","Top 2023 roku #64"
"Oppenheimer","2023","3h","7,9","Christopher Nolan","USA","Biograficzny","Dramat"
"Barbie","2023","1h 54m","6,4","Greta Gerwig","USA","Dramat","Fantasy"
"Mission: Impossible - Dead Reckoning - Part One","2023","2h 43m","7,1","Christopher McQuarrie","USA","Sensacyjny","Filmweb poleca"
"Między nami żywiołami","2023","1h 41m","7,0","Peter Sohn","USA","Animacja","Przygodowy"
"Merida Waleczna","2012","1h 30m","7,1","Mark Andrews","USA","Animacja","Familijny"
"Szybcy i wściekli 10","2023","2h 21m","5,5","Louis Leterrier","USA","Akcja","Top 2023 roku #80"
"Indiana Jones i artefakt przeznaczenia","2023","2h 34m","6,4","James Mangold","USA","Przygodowy","Top 2023 roku #44"
"Dziewczyny z Dubaju®","2021","2h 30m","4,7","","","Dramat","Erotyczny"
"Asteroid City","2023","1h 44m","6,3","Wes Anderson","USA","Dramat","Komedia"
"Osiem gór","2022","2h 27m","7,3","Felix Van Groeningen","Włochy","Dramat","Top 2022 roku #16"
"Flash","2023","2h 24m","6,3","Andy Muschietti","USA","Akcja","Sci-Fi"
"Gwiezdne wojny: Ostatni Jedi","2017","2h 32m","6,8","Rian Johnson","USA","Przygodowy","Sci-Fi"
"Spider-Man: Poprzez multiwersum","2023","2h 20m","8,1","Joaquim Dos Santos","USA","Animacja","Akcja"
"Mała syrenka","2023","2h 15m","5,0","Rob Marshall","USA","Familijny","Fantasy"
"Szybcy i wściekli 9","2021","2h 25m","5,2","Justin Lin","USA","Akcja",NA
"Super Mario Bros. Film","2023","1h 32m","6,6","Aaron Horvath","USA","Animacja","Komedia"
"Dzień Matki","2023","1h 34m","4,9","Mateusz Rakowicz","Polska","Thriller","Akcja"
"Rycerze Zodiaku","2023","1h 52m","4,3","Tomasz Bagiński","Japonia","Fantasy","Przygodowy"
"C'mon C'mon","2021","1h 48m","7,5","Mike Mills","USA","Dramat","Top 2021 roku #3"
"Strażnicy Galaktyki: Volume 3","2023","2h 29m","7,7","James Gunn","USA","Akcja","Sci-Fi"
"Ant-Man i Osa: Kwantomania","2023","2h 5m","5,5","Peyton Reed","USA","Akcja","Sci-Fi"
"Sonic: Szybki jak błyskawica","2020","1h 40m","6,3","Jeff Fowler","USA","Komedia","Przygodowy"
"Sokół z masłem orzechowym","2019","1h 37m","7,2","Tyler Nilson","USA","Dramat","Komedia"
"Eternals","2021","2h 37m","6,0","Chloé Zhao","USA","Akcja","Sci-Fi"
"Wesele","2021","2h 15m","6,3","Wojciech Smarzowski","Polska","Dramat","Top 2021 roku #63"
"Small World","2021","1h 57m","5,3","Patryk Vega","Polska","Kryminał","Thriller"
"After. Ocal mnie","2021","1h 40m","4,4","Castille Landon","USA","Melodramat",NA
"After 2","2020","1h 45m","5,0","Roger Kumble","USA","Melodramat","Top 2020 roku #86"
"Piękna i rzeźnik","2020","1h 42m","5,7","Christopher Landon","USA","Horror","Komedia"
"Wyprawa do dżungli","2021","2h 7m","6,5","Jaume Collet-Serra","USA","Fantasy","Komedia"
"Ściema po polsku","2021","1h 33m","3,9","Mariusz Pujszo","Polska","Komedia",NA
"Nikt","2021","1h 32m","7,1","Ilya Naishuller","USA","Thriller","Akcja"
"W jak morderstwo","2021","1h 45m","5,0","Piotr Mularuk","Polska","Kryminał","Komedia obycz."
"Dzika noc","2022","1h 52m","6,4","Tommy Wirkola","USA","Thriller","Top 2022 roku #49"
"Nitram","2021","1h 50m","6,6","Justin Kurzel","Australia","Thriller",NA
"Słoń","2022","1h 28m","6,5","Kamil Krawczycki","Polska","Melodramat",NA
"Listy do M. 5","2022","1h 48m","5,4","Łukasz Jaworski","Polska","Komedia rom.","Świąteczny"
"Chrzciny","2022","1h 28m","6,2","Jakub Skoczeń","Polska","Komedia obycz.","Top 2022 roku #61"
"Baby Broker","2022","2h 9m","6,7","Hirokazu Koreeda","Korea Południowa","Dramat",NA
"Gdzie diabeł nie może, tam baby pośle","2022","1h 50m","4,9","Heathcliff Janusz Iwanowski","Polska","Komedia",NA
"Szczęścia chodzą parami","2022","1h 48m","5,3","Bartosz Prokopowicz","Polska","Komedia rom.",NA
"Samiec Alfa","2022","1h 40m","5,0","Katarzyna Priwieziencew","Polska","Czarna komedia",NA
"Poszukiwacze zaginionej Arki","1981","1h 55m","7,7","Steven Spielberg","USA","Przygodowy","Najlepsze filmy #182"
"American Gangster","2007","2h 37m","7,8","Ridley Scott","USA","Biograficzny","Dramat"
"Jak zostać królem","2010","1h 58m","7,8","Tom Hooper","Wielka Brytania","Biograficzny","Dramat historyczny"
"Nieoszlifowane diamenty","2019","2h 15m","6,9","Benny Safdie","USA","Dramat","Komedia"
"Martwe zło: Przebudzenie","2023","1h 37m","5,8","Lee Cronin","USA","Horror","Top 2023 roku #69"
"Krzyk VI","2023","2h 3m","6,0","Matt Bettinelli-Olpin","USA","Horror","Top 2023 roku #61"
"Ślub doskonały","2023","1h 38m","3,0","Nick Moran","Polska","Komedia",NA
"Pokusa","2023","1h 45m","2,7","","","Erotyczny","Thriller"
"Renfield","2023","1h 33m","6,0","Chris McKay","USA","Horror","Komedia"
"Bo się boi","2023","2h 59m","6,2","Ari Aster","Kanada","Horror","Komedia"
"Miłość, seks & pandemia","2021","2h","2,8","Patryk Vega","Polska","Dramat obyczajowy",NA
"Niewidzialna wojna","2022","2h 18m","1,9","Patryk Vega","Polska","Biograficzny",NA
"Air","2023","1h 52m","7,0","Ben Affleck","USA","Dramat","Sportowy"
"Dungeons & Dragons: Złodziejski honor","2023","2h 14m","7,0","Jonathan Goldstein","USA","Fantasy","Przygodowy"
"Blef doskonały","2021","1h 21m","2,6","Michał Węgrzyn","Polska","Komedia",NA
"Kret","1970","2h 5m","7,3","Alejandro Jodorowsky","Meksyk","Surrealistyczny","Western"
"Ostatni samuraj","2003","2h 34m","7,7","Edward Zwick","USA","Dramat historyczny","Najlepsze filmy #229"
"M3GAN","2022","1h 42m","5,7","Gerard Johnstone","USA","Horror","Sci-Fi"
"Star Trek","1979","2h 12m","6,9","Robert Wise","USA","Przygodowy","Sci-Fi"
"John Wick 3","2019","2h 11m","6,7","Chad Stahelski","USA","Thriller","Akcja"
"John Wick 4","2023","2h 49m","7,2","Chad Stahelski","USA","Thriller","Akcja"
"John Wick","2014","1h 41m","7,0","David Leitch","USA","Thriller","Akcja"
"John Wick 2","2017","2h 2m","6,8","Chad Stahelski","USA","Thriller","Akcja"
"Creed III","2023","1h 56m","6,0","Michael B. Jordan","USA","Dramat","Sportowy"
"Aftersun","2022","1h 38m","7,3","Charlotte Wells","Wielka Brytania","Dramat","Top 2022 roku #10"
"Sąsiedzi","2014","1h 31m","6,1","Nicholas Stoller","USA","Komedia",NA
"Zadra","2022","1h 28m","5,5","Grzegorz Mołda","Polska","Muzyczny",NA
"Clerks III","2022","1h 40m","5,6","Kevin Smith","USA","Komedia",NA
"Duchy Inisherin","2022","1h 54m","7,4","Martin McDonagh","Irlandia","Dramat","Komedia"
"Masz ci los!","2023","1h 26m","5,9","Mateusz Głowacki","Polska","Komedia",NA
"Podejrzana","2022","2h 18m","6,8","Chan-wook Park","Korea Południowa","Kryminał","Romans"
"Wieloryb","2022","1h 57m","7,2","Darren Aronofsky","USA","Dramat","Top 2022 roku #9"
"Hostiles","2017","2h 14m","7,1","Scott Cooper","USA","Dramat","Western"
"Heaven in Hell","2023","1h 59m","3,8","Tomasz Mandes","Polska","Romans",NA
"Czarna Wdowa","2021","2h 13m","6,3","Cate Shortland","USA","Akcja","Sci-Fi"
"Ostatnia wieczerza","2022","1h 29m","5,4","Bartosz M. Kowalski","Polska","Horror","Top 2022 roku #96"
"Mężczyzna imieniem Otto","2022","2h","7,4","Marc Forster","USA","Dramat","Komedia"
"Tron we krwi","1957","1h 45m","7,9","Akira Kurosawa","Japonia","Dramat historyczny","Top 1957 roku #5"
"Bielmo","2022","2h 10m","6,4","Scott Cooper","USA","Kryminał","Top 2022 roku #41"
"Bejbis","2022","2h","4,4","Andrzej Saramonowicz","Polska","Komedia",NA
"Kot w butach: Ostatnie życzenie","2022","1h 40m","7,7","Joel Crawford","USA","Animacja","Komedia"
"Jeden gniewny człowiek","2021","1h 58m","7,0","Guy Ritchie","USA","Thriller","Akcja"
"Strażnicy Galaktyki: Coraz bliżej święta","2022","42m","6,4","James Gunn","USA","Komedia","Akcja"
"Terrifier 2. Masakra w Święta","2022","2h 18m","5,3","Damien Leone","USA","Horror","Top 2022 roku #95"
"Patrz jak kręcą","2022","1h 38m","6,2","Tom George","USA","Komedia kryminalna","Top 2022 roku #64"
"IO","2022","1h 26m","6,1","Jerzy Skolimowski","Polska","Dramat","Top 2022 roku #68"
"Niewiniątka","2021","1h 57m","6,3","Eskil Vogt","Norwegia","Dramat","Thriller"
"Noc w przedszkolu","2022","1h 37m","6,1","Rafał Skalski","Polska","Czarna komedia","Top 2022 roku #67"
"Kot w butach","2011","1h 30m","6,5","Chris Miller","USA","Animacja","Komedia"
"Player One","2018","2h 20m","7,0","Steven Spielberg","USA","Przygodowy","Sci-Fi"
"Glass Onion: Film z serii ""Na noże""","2022","2h 19m","6,6","Rian Johnson","USA","Dramat","Komedia"
"Opiekunka","2017","1h 25m","5,4","McG","USA","Horror","Komedia"
"Opiekunka: Demoniczna królowa","2020","1h 42m","5,3","McG","USA","Horror","Komedia"
"Avatar: Istota wody","2022","3h 12m","7,2","James Cameron","USA","Sci-Fi","Top 2022 roku #8"
"Wojownicze żółwie ninja II: Tajemnica szlamu","1991","1h 28m","6,5","Michael Pressman","USA","Familijny","Fantasy"
"Fabelmanowie","2022","2h 31m","7,4","Steven Spielberg","USA","Dramat","Filmweb poleca"
"W trójkącie","2022","2h 30m","6,9","Ruben Östlund","Szwecja","Dramat","Komedia"
"Nie cudzołóż i nie kradnij","2022","1h 40m","4,1","Mariusz Kuczewski","Polska","Komedia kryminalna",NA
"Afera Thomasa Crowna","1999","1h 53m","7,0","John McTiernan","USA","Sensacyjny","Top 1999 roku #62"
"Terminator 2: Dzień sądu","1991","2h 17m","7,6","James Cameron","Francja","Akcja","Sci-Fi"
"Wojownik","2011","2h 20m","7,8","Gavin O'Connor","USA","Dramat","Sportowy"
"Doktor Strange w multiwersum obłędu","2022","2h 6m","6,7","Sam Raimi","USA","Fantasy","Przygodowy"
"Menu","2022","1h 46m","6,7","Mark Mylod","USA","Thriller","Top 2022 roku #26"
"Do ostatniej kości","2022","2h 10m","6,5","Luca Guadagnino","Włochy","Dramat","Horror"
"Czarna Pantera: Wakanda w moim sercu","2022","2h 41m","6,1","Ryan Coogler","USA","Akcja","Sci-Fi"
"Miłość na pierwszą stronę","2022","1h 56m","5,2","Maria Sadowska","Polska","Komedia rom.",NA
"Enola Holmes","2020","2h 3m","6,4","Harry Bradbeer","USA","Kryminał","Przygodowy"
"Barbarzyńcy","2022","1h 42m","6,1","Zach Cregger","USA","Horror","Top 2022 roku #65"
"Halloween. Finał","2022","1h 51m","4,8","David Gordon Green","USA","Horror",NA
"Marcel","2019","26m","7,0","Marcin Mikulski","Polska","Dramat","Komedia"
"Apokawixa","2022","2h","5,0","Xawery Żuławski","Polska","Horror","Komedia"
"Golem","1979","1h 28m","7,1","Piotr Szulkin","Polska","Dramat","Sci-Fi"
"Jurassic World","2015","2h 4m","6,6","Colin Trevorrow","USA","Przygodowy","Sci-Fi"
"Amsterdam","2022","2h 7m","5,6","David O. Russell","USA","Komedia","Top 2022 roku #89"
"Blisko","2022","1h 43m","7,6","Lukas Dhont","Belgia","Dramat",NA
"Broad Peak","2022","1h 42m","5,6","Leszek Dawid","Polska","Biograficzny","Dramat"
"Johnny","2022","1h 59m","7,6","Daniel Jaroszek","Polska","Biograficzny","Top 2022 roku #3"
"Zołza","2022","1h 36m","4,3","Tomasz Konecki","Polska","Komedia",NA
"After 4. Bez siebie nie przetrwamy","2022","1h 35m","4,5","Castille Landon","USA","Melodramat",NA
"Każdy wie lepiej","2022","1h 30m","4,7","Michał Rogalski","Polska","Komedia obycz.",NA
"Zbrodnie przyszłości","2022","1h 47m","5,4","David Cronenberg","Kanada","Horror","Sci-Fi"
"Powodzenia, Leo Grande","2022","1h 37m","7,2","Sophie Hyde","Wielka Brytania","Dramat","Komedia"
"Yang","2021","1h 36m","6,3","Kogonada","USA","Dramat","Sci-Fi"
"Paryż, 13. dzielnica","2021","1h 45m","6,9","Jacques Audiard","Francja","Melodramat",NA
"Morderstwo w Orient Expressie","2017","1h 54m","6,5","Kenneth Branagh","USA","Kryminał","Top 2017 roku #82"
"Silent Twins","2022","1h 53m","6,7","Agnieszka Smoczyńska","Polska","Biograficzny","Dramat"
"Na chwilę, na zawsze","2022","1h 45m","5,6","Piotr Trzaskalski","Polska","Romans",NA
"Buzz Astral","2022","1h 40m","6,2","Angus MacLane","USA","Animacja","Familijny"
"Czarna owca","2021","1h 47m","6,8","Aleksander Pietrzak","Polska","Dramat","Komedia"
"Predator: Prey","2022","1h 39m","6,4","Dan Trachtenberg","USA","Akcja","Sci-Fi"
"Thor: Miłość i grom","2022","1h 59m","6,2","Taika Waititi","USA","Fantasy","Przygodowy"
"Elvis","2022","2h 39m","6,9","Baz Luhrmann","USA","Biograficzny","Dramat"
"Nie martw się, kochanie","2022","2h 3m","6,2","Olivia Wilde","USA","Thriller","Top 2022 roku #53"
"Śubuk","2022","1h 52m","7,3","Jacek Lusiński","Polska","Dramat",NA
"Kryptonim Polska","2022","1h 37m","4,9","Piotr Kumik","Polska","Komedia",NA
"Bullet Train","2022","2h 6m","6,8","David Leitch","USA","Komedia","Akcja"
"Gdzie śpiewają raki","2022","2h 5m","6,9","Olivia Newman","USA","Melodramat","Top 2022 roku #21"
"Logan: Wolverine","2017","2h 17m","7,6","James Mangold","USA","Dramat","Akcja"
"Nie!","2022","2h 10m","6,0","Jordan Peele","USA","Horror","Sci-Fi"
"Gray Man","2022","2h 2m","5,8","Joe Russo","USA","Akcja","Top 2022 roku #81"
"Za duży na bajki","2022","1h 46m","6,7","Kristoffer Rus","Polska","Familijny","Top 2022 roku #34"
"Men","2022","1h 40m","5,8","Alex Garland","Wielka Brytania","Thriller","Top 2022 roku #80"
"Jurassic World Dominion","2022","2h 26m","5,4","Colin Trevorrow","USA","Przygodowy","Sci-Fi"
"Desperado","1995","1h 46m","7,1","Robert Rodriguez","USA","Akcja","Gangsterski"
"Pierwsza krowa","2019","2h 1m","6,7","Kelly Reichardt","USA","Dramat",NA
"Resident Evil: Witajcie w Raccoon City","2021","1h 47m","4,9","Johannes Roberts","Niemcy","Horror","Akcja"
"Złoto","2022","1h 37m","5,5","Anthony Hayes","Australia","Thriller",NA
"Mała mama","2021","1h 12m","6,9","Céline Sciamma","Francja","Dramat","Psychologiczny"
"Podpalaczka","2022","1h 34m","4,4","Keith Thomas","USA","Horror","Sci-Fi"
"Zaginione miasto","2022","1h 52m","5,7","Aaron Nee","USA","Przygodowy","Komedia rom."
"Piosenki o miłości","2021","1h 30m","7,0","Tomasz Habowski","Polska","Dramat","Top 2021 roku #34"
"Mój syn","2021","1h 35m","5,7","Christian Carion","Wielka Brytania","Dramat","Kryminał"
"Krzyk","2022","1h 54m","6,1","Matt Bettinelli-Olpin","USA","Horror","Top 2022 roku #69"
"Candyman","2021","1h 31m","5,2","Nia DaCosta","USA","Horror","Top 2021 roku #98"
"Top Gun: Maverick","2022","2h 11m","7,9","Joseph Kosinski","USA","Akcja","Filmweb poleca"
"Top Gun","1986","1h 50m","7,2","Tony Scott","USA","Sensacyjny","Romans"
"Fucking Bornholm","2022","1h 35m","5,5","Anna Kazejak","Polska","Dramat","Komedia"
"Sonic 2: Szybki jak błyskawica","2022","2h 2m","6,2","Jeff Fowler","USA","Komedia","Przygodowy"
"Uncharted","2022","1h 56m","6,1","Ruben Fleischer","USA","Przygodowy","Top 2022 roku #62"
"To nie wypanda","2022","1h 47m","6,9","Domee Shi","USA","Animacja","Familijny"
"Drive My Car","2021","2h 59m","6,9","Ryûsuke Hamaguchi","Japonia","Dramat","Top 2021 roku #39"
"Fantastyczne zwierzęta: Tajemnice Dumbledore'a","2022","2h 22m","5,9","David Yates","USA","Familijny","Fantasy"
"Wiking","2022","2h 20m","6,7","Robert Eggers","USA","Dramat","Filmweb poleca"
"365 dni: Ten dzień","2022","1h 51m","2,0","","","Erotyczny",NA
"365 dni","2020","1h 56m","3,5","","","Erotyczny","Top 2020 roku #98"
"Nieznośny ciężar wielkiego talentu","2022","1h 45m","6,4","Tom Gormican","USA","Komedia","Top 2022 roku #45"
"Gierek","2022","2h 30m","4,9","Michał Węgrzyn","Polska","Biograficzny",NA
"Bańka","2022","2h 6m","4,3","Judd Apatow","USA","Komedia",NA
"Morbius","2022","1h 44m","5,0","Daniel Espinosa","USA","Horror","Akcja"
"Wszystko wszędzie naraz","2022","2h 20m","6,9","Dan Kwan","USA","Komedia","Akcja"
"Córka","2021","2h 1m","7,2","Maggie Gyllenhaal","USA","Dramat","Top 2021 roku #19"
"Najgorszy człowiek na świecie","2021","2h 8m","7,3","Joachim Trier","Norwegia","Komedia rom.","Top 2021 roku #7"
"Ewolucja planety małp","2014","2h 10m","7,0","Matt Reeves","USA","Dramat","Akcja"
"Batman","2022","2h 56m","7,4","Matt Reeves","USA","Akcja","Sci-Fi"
"Gorączka","1995","2h 50m","8,1","Michael Mann","USA","Sensacyjny","Najlepsze filmy #50"
"Była sobie dziewczyna","2009","1h 35m","7,1","Lone Scherfig","Wielka Brytania","Dramat","Top 2009 roku #53"
"Wdowy","2018","2h 8m","6,3","Steve McQueen","Wielka Brytania","Dramat","Kryminał"
"Pierwszy reformowany","2017","1h 48m","6,3","Paul Schrader","USA","Dramat","Thriller"
"Godzilla vs. Kong","2021","1h 53m","5,9","Adam Wingard","USA","Akcja","Sci-Fi"
"Hellboy","2019","2h","5,3","Neil Marshall","USA","Fantasy","Akcja"
"Saint Maud","2019","1h 23m","6,2","Rose Glass","Wielka Brytania","Horror",NA
