"unlist.names_spec.","unlist.years_spec.","unlist.times_spec.","unlist.av_rates_spec.","unlist.directors_spec.","unlist.countries_spec.","unlist.genres1_spec.","unlist.genres2_spec."
"Armageddon","1998","2h 30m","7,4","Michael Bay","USA","Katastroficzny","Top 1998 roku #14"
"The Host: Potwór","2006","1h 59m","6,1","Joon-ho Bong","Korea Południowa","Dramat","Horror"
"Zagadka zbrodni","2003","2h 9m","7,6","Joon-ho Bong","Korea Południowa","Dramat","Kryminał"
"Furiosa: Saga Mad Max","2024","2h 28m","6,4","George Miller","Australia","Sensacyjny","Sci-Fi"
"Hit Man","2023","1h 55m","6,3","Richard Linklater","USA","Komedia","Akcja"
"Jutro będzie nasze","2023","1h 58m","8,0","Paola Cortellesi","Włochy","Dramat","Komedia"
"Więzień labiryntu: Próby ognia","2015","2h 12m","6,5","Wes Ball","USA","Thriller","Akcja"
"Królestwo Planety Małp","2024","2h 25m","6,5","Wes Ball","USA","Akcja","Sci-Fi"
"Abigail","2024","1h 49m","5,8","Matt Bettinelli-Olpin","USA","Horror",NA
"Perfect Days","2023","2h 3m","7,5","Wim Wenders","Japonia","Dramat","Filmweb poleca"
"Kaskader","2024","2h 6m","6,6","David Leitch","USA","Komedia","Akcja"
"Nice Guys. Równi goście","2016","1h 56m","6,7","Shane Black","USA","Komedia kryminalna","Filmweb poleca"
"Challengers","2024","2h 11m","6,7","Luca Guadagnino","USA","Dramat","Sportowy"
"Straceni chłopcy","1987","1h 37m","6,9","Joel Schumacher","USA","Horror","Komedia"
"Arcydzieło czyli dekalog producenta filmowego","2023","1h 30m","4,5","Mariusz Pujszo","Polska","Komedia",NA
"Śmiertelne zauroczenie","1988","1h 42m","7,0","Michael Lehmann","USA","Komedia","Top 1988 roku #32"
"Lisa Frankenstein","2024","1h 41m","5,6","Zelda Williams","USA","Horror","Komedia"
"Civil War","2024","1h 49m","6,8","Alex Garland","USA","Dramat","Akcja"
"Bracia ze stali","2023","2h 12m","7,2","Sean Durkin","USA","Biograficzny","Dramat"
"Anatomia upadku","2023","2h 30m","7,2","Justine Triet","Francja","Dramat","Kryminał"
"Wojna o planetę małp","2017","2h 20m","7,0","Matt Reeves","USA","Dramat","Sci-Fi"
"John Lennon. Chłopak znikąd","2009","1h 38m","7,1","Sam Taylor-Johnson","Wielka Brytania","Biograficzny","Dramat"
"Nasze magiczne Encanto","2021","1h 39m","7,2","Jared Bush","USA","Animacja","Familijny"
"Wykidajło","1989","1h 54m","6,9","Rowdy Herrington","USA","Akcja","Top 1989 roku #34"
"Bękart","2023","2h 7m","7,5","Nikolaj Arcel","Dania","Dramat historyczny","Top 2023 roku #11"
"Pamięć","2023","1h 40m","7,1","Michel Franco","USA","Dramat",NA
"80 milionów","2011","1h 42m","7,0","Waldemar Krzystek","Polska","Sensacyjny","Polityczny"
"Road House","2024","1h 54m","6,2","Doug Liman","USA","Thriller","Akcja"
